NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Kusum Rolls,250,North Indian,,,,,,,,,,
Jimmy Boy,800,Parsi,,,,,,,,,,
Ceremonial Kitchen & Co,1000,Seafood,,,,,,,,,,
Markaz Restaurant,800,North Indian,,,,,,,,,,
Royal Garden,550,Chinese,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
New Mezban Restaurant,500,Chinese,,,,,,,,,,
Vishwa Lunch Home,250,North Indian,,,,,,,,,,
Agrawal's Juice N Fast Food,300,Fast Food,,,,,,,,,,
Link  Way Restaurant,500,North Indian,,,,,,,,,,
Lajawab Kabab Corner,150,Kebab,,,,,,,,,,
Rajyog,800,North Indian,,,,,,,,,,
Ruchi,500,North Indian,,,,,,,,,,
Star Of China,800,Chinese,Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/star-of-china-7-bungalows/info,103,Casual Dining,12midnight to 1am,,,,
Kababchini,700,North Indian,,,,,,,,,,
Renault Bar & Restaurant,650,Chinese,,,,,,,,,,
Hotel Amrut Punjab,700,North Indian,,,,,,,,,,
Sai Leela Hotel,600,Mughlai,,,,,,,,,,
Scooper N Shakker,200,Desserts,,,,,,,,,,
China 65,300,North Indian,,,,,,,,,,
Supreme Chinese,150,Chinese,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
The Fiesta,600,American,,,,,,,,,,
Tempting Food,500,North Indian,,,,,,,,,,
Mr Kalam,300,Chinese,,,,,,,,,,
Appetite - Resto Bar,700,North Indian,,,,,,,,,,
Oriental Origins,400,Chinese,,,,,,,,,,
Sirf 160,650,North Indian,,,,,,,,,,
The Good Bowl,500,Asian,,,,,,,,,,
Kitchen Table,800,Continental,,,,,,,,,,
51 Rainbow Ice Cream & Shakes,300,Desserts,,,,,,,,,,
The Dark Kitchen,600,Chinese,,,,,,,,,,
Mokart,200,Momos,,,,,,,,,,
The Bukhara Kitchen,400,North Indian,,,,,,,,,,
